,"32,0","32,1","32,15","32,3","32,5","44,0","44,1","44,15","44,3","44,5"
0,49.7161111111,64.2130102041,45.953626635,53.6090561224,865.713436385,109.355529132,59.8525564804,41.8596908442,55.644470868,55.9844444444
