,blockNum,penalty,reward,sepDistance,timeLimit,x_position,y_position
161,4,-5,1,-44.0,1,100,100
162,4,-1,1,32.0,1,100,100
163,4,-1,1,-44.0,1,100,0
164,4,-1,1,44.0,1,0,100
165,4,0,1,-44.0,1,100,0
166,4,0,1,32.0,1,100,-100
167,4,-1,1,-32.0,1,-100,100
168,4,-1,1,-44.0,1,0,-100
169,4,-1,1,32.0,1,100,-100
170,4,-1,1,-32.0,1,-100,-100
171,4,-5,1,-32.0,1,100,0
172,4,-5,1,-44.0,1,-100,100
173,4,0,1,44.0,1,0,-100
174,4,-1,1,44.0,1,-100,0
175,4,0,1,-32.0,1,-100,0
176,4,0,1,-44.0,1,-100,-100
177,4,-5,1,32.0,1,100,-100
178,4,-5,1,44.0,1,-100,0
179,4,0,1,32.0,1,100,100
180,5,0,1,32.0,1,0,100
181,5,-1,1,44.0,1,0,0
182,5,-5,1,32.0,1,0,0
183,5,0,1,-44.0,1,0,0
184,5,-5,1,-32.0,1,100,100
185,5,-5,1,44.0,1,0,100
186,5,0,1,44.0,1,100,-100
187,5,0,1,-32.0,1,-100,100
188,5,-5,1,-44.0,1,-100,-100
189,5,-1,1,-44.0,1,-100,100
190,5,-1,1,-32.0,1,-100,0
191,5,-1,1,32.0,1,100,0
192,5,-1,1,44.0,1,100,100
193,5,-1,1,-32.0,1,100,-100
194,5,0,1,32.0,1,100,0
195,5,0,1,44.0,1,-100,-100
196,5,0,1,-32.0,1,-100,-100
197,5,0,1,-44.0,1,100,-100
198,5,-1,1,-44.0,1,-100,-100
199,5,-5,1,-32.0,1,-100,-100
200,5,-5,1,44.0,1,-100,100
201,5,-5,1,-44.0,1,100,-100
202,5,-5,1,32.0,1,100,100
203,5,-1,1,32.0,1,0,-100
204,5,-1,1,32.0,1,0,100
205,5,0,1,32.0,1,100,100
206,5,0,1,44.0,1,0,100
207,5,-1,1,44.0,1,0,-100
208,5,-5,1,32.0,1,0,0
209,5,-5,1,44.0,1,-100,0
210,5,-5,1,-32.0,1,0,-100
211,5,-5,1,-44.0,1,0,100
212,5,-1,1,-32.0,1,0,0
213,5,0,1,-32.0,1,0,-100
214,5,-1,1,-44.0,1,-100,100
215,5,0,1,-44.0,1,100,0
216,6,-1,1,-32.0,1,100,-100
217,6,-3,3,-44.0,1,100,0
218,6,-5,1,44.0,1,100,0
219,6,0,1,32.0,1,-100,0
220,6,-3,3,32.0,1,-100,-100
221,6,-1,1,44.0,1,100,0
222,6,-15,3,-32.0,1,0,0
223,6,0,1,-32.0,1,0,0
224,6,-1,1,32.0,1,-100,0
225,6,0,1,-44.0,1,-100,0
226,6,-1,1,-44.0,1,-100,-100
227,6,0,1,44.0,1,100,0
228,6,0,1,-32.0,1,-100,100
229,6,-5,1,-44.0,1,0,100
230,6,-15,3,44.0,1,0,100
231,6,-3,3,32.0,1,0,0
232,6,-5,1,32.0,1,100,-100
233,6,-5,1,44.0,1,100,100
234,6,-1,1,-32.0,1,0,100
235,6,-1,1,-44.0,1,-100,-100
236,6,-5,1,-32.0,1,-100,100
237,6,-3,3,32.0,1,-100,0
238,6,0,1,-44.0,1,100,-100
239,6,-15,3,44.0,1,-100,-100
240,6,-3,3,32.0,1,0,100
241,6,-5,1,-44.0,1,-100,-100
242,6,-5,1,32.0,1,0,-100
243,6,-5,1,44.0,1,0,0
244,6,-1,1,44.0,1,-100,0
245,6,-1,1,-32.0,1,100,0
246,6,-3,3,-44.0,1,0,-100
247,6,0,1,-44.0,1,-100,-100
248,6,-5,1,-32.0,1,100,0
249,6,-15,3,-32.0,1,100,100
250,6,0,1,32.0,1,100,100
251,6,-15,3,44.0,1,-100,0
252,7,-3,3,32.0,1,-100,100
253,7,-5,1,32.0,1,-100,0
254,7,-5,1,-32.0,1,-100,100
255,7,-1,1,-32.0,1,-100,100
256,7,-1,1,32.0,1,0,-100
257,7,-1,1,-44.0,1,0,0
258,7,-5,1,44.0,1,-100,-100
259,7,-5,1,-44.0,1,0,100
260,7,0,1,-32.0,1,0,-100
261,7,0,1,-44.0,1,0,100
262,7,-1,1,44.0,1,100,100
263,7,0,1,44.0,1,0,100
264,7,0,1,-44.0,1,100,0
265,7,-15,3,44.0,1,100,-100
266,7,0,1,44.0,1,100,100
267,7,-5,1,-44.0,1,100,0
268,7,-5,1,32.0,1,100,-100
269,7,0,1,-32.0,1,100,-100
270,7,-1,1,-32.0,1,-100,100
271,7,-3,3,-32.0,1,0,0
272,7,-1,1,32.0,1,0,100
273,7,-3,3,-44.0,1,0,-100
274,7,0,1,32.0,1,-100,-100
275,7,-1,1,44.0,1,0,0
276,7,0,1,44.0,1,-100,100
277,7,-15,3,44.0,1,0,0
278,7,-15,3,44.0,1,100,100
279,7,-1,1,32.0,1,100,100
280,7,-3,3,32.0,1,100,-100
281,7,0,1,-44.0,1,-100,0
282,7,0,1,32.0,1,0,-100
283,7,-5,1,-32.0,1,0,-100
284,7,-3,3,-32.0,1,0,100
285,7,-15,3,-32.0,1,100,-100
286,7,-1,1,-44.0,1,-100,0
287,7,-5,1,-44.0,1,0,0
