,poke,est,cond,std
0,20.0,0.0,0,8.81063418968
1,24.0,0.0,0,8.81063418968
2,14.0,0.0,0,8.81063418968
3,13.0,0.0,0,8.81063418968
4,-5.0,0.0,0,8.81063418968
5,32.0,0.0,0,8.81063418968
6,14.0,0.0,0,8.81063418968
7,6.0,0.0,0,8.81063418968
8,14.0,0.0,0,8.81063418968
9,18.0,0.0,0,8.81063418968
10,-4.0,0.0,0,8.81063418968
11,0.0,0.0,0,8.81063418968
12,-27.0,0.0,0,8.81063418968
13,20.0,0.0,0,8.81063418968
14,13.0,0.0,0,8.81063418968
15,8.0,0.0,0,8.81063418968
16,17.0,0.0,0,8.81063418968
17,21.0,0.0,0,8.81063418968
18,0.0,0.0,0,8.81063418968
19,16.0,0.0,0,8.81063418968
20,5.0,0.0,0,8.81063418968
21,10.0,0.0,0,8.81063418968
22,26.0,0.0,0,8.81063418968
23,29.0,0.0,0,8.81063418968
24,11.0,0.0,0,8.81063418968
25,-0.0,0.0,0,8.81063418968
26,17.0,0.0,0,8.81063418968
27,33.0,0.0,0,8.81063418968
28,20.0,0.0,0,8.81063418968
29,14.0,0.0,0,8.81063418968
30,-2.0,0.0,0,8.81063418968
31,-6.0,0.0,0,8.81063418968
32,29.0,0.0,0,8.81063418968
33,20.0,0.0,0,8.81063418968
34,15.0,0.0,0,8.81063418968
35,-5.0,0.0,0,8.81063418968
36,25.0,0.0,0,8.81063418968
37,12.0,0.0,0,8.81063418968
38,19.0,0.0,0,8.81063418968
39,-3.0,0.0,0,8.81063418968
40,-42.0,0.0,0,8.81063418968
41,20.0,0.0,0,8.81063418968
42,2.0,0.0,0,8.81063418968
43,10.0,0.0,0,8.81063418968
44,15.0,0.0,0,8.81063418968
45,-20.0,0.0,0,8.81063418968
46,9.0,0.0,0,8.81063418968
47,12.0,0.0,0,8.81063418968
48,16.0,0.0,0,8.81063418968
49,12.0,0.0,0,8.81063418968
50,6.0,0.0,0,8.81063418968
51,-2.0,0.0,0,8.81063418968
52,17.0,0.0,0,8.81063418968
53,19.0,0.0,0,8.81063418968
54,10.0,0.0,0,8.81063418968
55,15.0,0.0,0,8.81063418968
56,-11.0,0.0,0,8.81063418968
57,35.0,0.0,0,8.81063418968
58,-13.0,0.0,0,8.81063418968
59,-14.0,0.0,0,8.81063418968
60,-17.0,0.0,0,8.81063418968
61,-12.0,0.0,0,8.81063418968
62,-17.0,0.0,0,8.81063418968
63,-17.0,0.0,0,8.81063418968
64,-5.0,0.0,0,8.81063418968
65,10.0,0.0,0,8.81063418968
66,7.0,0.0,0,8.81063418968
67,2.0,0.0,0,8.81063418968
68,-3.0,0.0,0,8.81063418968
69,-23.0,0.0,0,8.81063418968
70,-5.0,0.0,0,8.81063418968
71,9.0,0.0,0,8.81063418968
72,16.0,0.0,0,8.81063418968
73,-18.0,0.0,0,8.81063418968
74,-3.0,0.0,0,8.81063418968
75,-9.0,0.0,0,8.81063418968
76,-12.0,0.0,0,8.81063418968
77,-9.0,0.0,0,8.81063418968
78,14.0,0.0,0,8.81063418968
79,23.0,0.0,0,8.81063418968
80,13.0,0.0,0,8.81063418968
81,-5.0,0.0,0,8.81063418968
82,-17.0,0.0,0,8.81063418968
83,29.0,0.0,0,8.81063418968
84,0.0,0.0,0,8.81063418968
85,-12.0,0.0,0,8.81063418968
86,-5.0,0.0,0,8.81063418968
87,-9.0,0.0,0,8.81063418968
88,13.0,0.0,0,8.81063418968
89,2.0,0.0,0,8.81063418968
90,-2.0,0.0,0,8.81063418968
91,2.0,0.0,0,8.81063418968
92,-5.0,0.0,0,8.81063418968
93,9.0,0.0,0,8.81063418968
94,-3.0,0.0,0,8.81063418968
95,-5.0,0.0,0,8.81063418968
96,-13.0,0.0,0,8.81063418968
97,-11.0,0.0,0,8.81063418968
98,4.0,0.0,0,8.81063418968
99,5.0,0.0,0,8.81063418968
100,-6.0,0.0,0,8.81063418968
101,4.0,0.0,0,8.81063418968
102,-4.0,0.0,0,8.81063418968
103,-1.0,0.0,0,8.81063418968
104,-15.0,0.0,0,8.81063418968
105,8.0,0.0,0,8.81063418968
106,-9.0,0.0,0,8.81063418968
107,0.0,0.0,0,8.81063418968
108,-4.0,0.0,0,8.81063418968
109,-18.0,0.0,0,8.81063418968
110,-2.0,0.0,0,8.81063418968
111,37.0,0.0,0,8.81063418968
112,12.0,15.0,2,8.81063418968
113,28.0,15.0,2,8.81063418968
114,2.0,15.0,2,8.81063418968
115,7.0,15.0,2,8.81063418968
116,21.0,15.0,2,8.81063418968
117,3.0,15.0,2,8.81063418968
118,3.0,15.0,2,8.81063418968
119,19.0,15.0,2,8.81063418968
120,18.0,15.0,2,8.81063418968
121,2.0,15.0,2,8.81063418968
122,0.0,15.0,2,8.81063418968
123,12.0,15.0,2,8.81063418968
124,19.0,15.0,2,8.81063418968
125,12.0,15.0,2,8.81063418968
126,1.0,15.0,2,8.81063418968
127,-4.0,15.0,2,8.81063418968
128,13.0,15.0,2,8.81063418968
129,14.0,15.0,2,8.81063418968
130,11.0,15.0,2,8.81063418968
131,-6.0,15.0,2,8.81063418968
132,10.0,15.0,2,8.81063418968
133,10.0,15.0,2,8.81063418968
134,10.0,15.0,2,8.81063418968
135,19.0,15.0,2,8.81063418968
136,15.0,15.0,2,8.81063418968
137,8.0,15.0,2,8.81063418968
138,13.0,15.0,2,8.81063418968
139,4.0,15.0,2,8.81063418968
140,10.0,15.0,2,8.81063418968
141,5.0,15.0,2,8.81063418968
142,11.0,15.0,2,8.81063418968
143,22.0,15.0,2,8.81063418968
144,8.0,15.0,2,8.81063418968
145,15.0,15.0,2,8.81063418968
146,5.0,15.0,2,8.81063418968
147,9.0,15.0,2,8.81063418968
148,25.0,15.0,2,8.81063418968
149,10.0,15.0,2,8.81063418968
150,2.0,15.0,2,8.81063418968
151,-4.0,15.0,2,8.81063418968
152,29.0,15.0,2,8.81063418968
153,25.0,15.0,2,8.81063418968
154,24.0,15.0,2,8.81063418968
155,8.0,15.0,2,8.81063418968
156,8.0,15.0,2,8.81063418968
157,23.0,15.0,2,8.81063418968
158,5.0,15.0,2,8.81063418968
159,12.0,15.0,2,8.81063418968
160,6.0,15.0,2,8.81063418968
161,10.0,15.0,2,8.81063418968
162,5.0,15.0,2,8.81063418968
163,20.0,15.0,2,8.81063418968
164,15.0,15.0,2,8.81063418968
165,8.0,15.0,2,8.81063418968
166,21.0,15.0,2,8.81063418968
167,21.0,15.0,2,8.81063418968
168,2.0,15.0,2,8.81063418968
169,6.0,15.0,2,8.81063418968
170,11.0,15.0,2,8.81063418968
171,14.0,15.0,2,8.81063418968
172,-7.0,-2.0,2,8.81063418968
173,3.0,-2.0,2,8.81063418968
174,-10.0,-2.0,2,8.81063418968
175,-11.0,-2.0,2,8.81063418968
176,6.0,-2.0,2,8.81063418968
177,-7.0,-2.0,2,8.81063418968
178,6.0,-2.0,2,8.81063418968
179,-4.0,-2.0,2,8.81063418968
180,22.0,-2.0,2,8.81063418968
181,0.0,-2.0,2,8.81063418968
182,4.0,-2.0,2,8.81063418968
183,4.0,-2.0,2,8.81063418968
184,11.0,-2.0,2,8.81063418968
185,-7.0,-2.0,2,8.81063418968
186,3.0,-2.0,2,8.81063418968
187,-24.0,-2.0,2,8.81063418968
188,6.0,-2.0,2,8.81063418968
189,5.0,-2.0,2,8.81063418968
190,0.0,-2.0,2,8.81063418968
191,-2.0,-2.0,2,8.81063418968
192,0.0,-2.0,2,8.81063418968
193,11.0,-2.0,2,8.81063418968
194,6.0,-2.0,2,8.81063418968
195,-11.0,-2.0,2,8.81063418968
196,-8.0,-2.0,2,8.81063418968
197,-9.0,-2.0,2,8.81063418968
198,0.0,-2.0,2,8.81063418968
199,11.0,-2.0,2,8.81063418968
200,-5.0,-2.0,2,8.81063418968
201,-2.0,-2.0,2,8.81063418968
202,4.0,-2.0,2,8.81063418968
203,11.0,-2.0,2,8.81063418968
204,6.0,-2.0,2,8.81063418968
205,12.0,-2.0,2,8.81063418968
206,0.0,-2.0,2,8.81063418968
207,20.0,-2.0,2,8.81063418968
208,-13.0,-2.0,2,8.81063418968
209,10.0,-2.0,2,8.81063418968
210,-5.0,-2.0,2,8.81063418968
211,12.0,-2.0,2,8.81063418968
212,-11.0,-2.0,2,8.81063418968
213,-1.0,-2.0,2,8.81063418968
214,-9.0,-2.0,2,8.81063418968
215,1.0,-2.0,2,8.81063418968
216,3.0,-2.0,2,8.81063418968
217,14.0,-2.0,2,8.81063418968
218,-5.0,-2.0,2,8.81063418968
219,-3.0,-2.0,2,8.81063418968
220,0.0,-2.0,2,8.81063418968
221,-8.0,-2.0,2,8.81063418968
222,-5.0,-2.0,2,8.81063418968
223,1.0,-2.0,2,8.81063418968
224,-5.0,-2.0,2,8.81063418968
225,1.0,-2.0,2,8.81063418968
226,-3.0,-2.0,2,8.81063418968
227,6.0,-2.0,2,8.81063418968
228,21.0,-2.0,2,8.81063418968
229,1.0,-2.0,2,8.81063418968
230,1.0,-2.0,2,8.81063418968
231,0.0,-2.0,2,8.81063418968
232,-10.0,20.0,4,8.81063418968
233,23.0,20.0,4,8.81063418968
234,1.0,20.0,4,8.81063418968
235,14.0,20.0,4,8.81063418968
236,31.0,20.0,4,8.81063418968
237,18.0,20.0,4,8.81063418968
238,18.0,20.0,4,8.81063418968
239,15.0,20.0,4,8.81063418968
240,21.0,20.0,4,8.81063418968
241,3.0,20.0,4,8.81063418968
242,11.0,20.0,4,8.81063418968
243,4.0,20.0,4,8.81063418968
244,5.0,20.0,4,8.81063418968
245,4.0,20.0,4,8.81063418968
246,7.0,20.0,4,8.81063418968
247,17.0,20.0,4,8.81063418968
248,20.0,20.0,4,8.81063418968
249,1.0,20.0,4,8.81063418968
250,-1.0,20.0,4,8.81063418968
251,10.0,20.0,4,8.81063418968
252,10.0,20.0,4,8.81063418968
253,20.0,20.0,4,8.81063418968
254,20.0,20.0,4,8.81063418968
255,18.0,20.0,4,8.81063418968
256,-2.0,20.0,4,8.81063418968
257,5.0,20.0,4,8.81063418968
258,-2.0,20.0,4,8.81063418968
259,9.0,20.0,4,8.81063418968
260,8.0,20.0,4,8.81063418968
261,3.0,20.0,4,8.81063418968
262,-10.0,20.0,4,8.81063418968
263,8.0,20.0,4,8.81063418968
264,8.0,20.0,4,8.81063418968
265,21.0,20.0,4,8.81063418968
266,20.0,20.0,4,8.81063418968
267,10.0,20.0,4,8.81063418968
268,7.0,20.0,4,8.81063418968
269,16.0,20.0,4,8.81063418968
270,17.0,20.0,4,8.81063418968
271,15.0,20.0,4,8.81063418968
272,13.0,20.0,4,8.81063418968
273,28.0,20.0,4,8.81063418968
274,4.0,20.0,4,8.81063418968
275,3.0,20.0,4,8.81063418968
276,2.0,20.0,4,8.81063418968
277,20.0,20.0,4,8.81063418968
278,15.0,20.0,4,8.81063418968
279,11.0,20.0,4,8.81063418968
280,17.0,20.0,4,8.81063418968
281,15.0,20.0,4,8.81063418968
282,15.0,20.0,4,8.81063418968
283,16.0,20.0,4,8.81063418968
284,9.0,20.0,4,8.81063418968
285,8.0,20.0,4,8.81063418968
286,13.0,20.0,4,8.81063418968
287,10.0,20.0,4,8.81063418968
288,21.0,20.0,4,8.81063418968
289,5.0,20.0,4,8.81063418968
290,0.0,-1.0,4,8.81063418968
291,-4.0,-1.0,4,8.81063418968
292,-1.0,-1.0,4,8.81063418968
293,6.0,-1.0,4,8.81063418968
294,-4.0,-1.0,4,8.81063418968
295,16.0,-1.0,4,8.81063418968
296,15.0,-1.0,4,8.81063418968
297,17.0,-1.0,4,8.81063418968
298,-27.0,-1.0,4,8.81063418968
299,20.0,-1.0,4,8.81063418968
300,-16.0,-1.0,4,8.81063418968
301,4.0,-1.0,4,8.81063418968
302,-8.0,-1.0,4,8.81063418968
303,-10.0,-1.0,4,8.81063418968
304,4.0,-1.0,4,8.81063418968
305,-3.0,-1.0,4,8.81063418968
306,-22.0,-1.0,4,8.81063418968
307,1.0,-1.0,4,8.81063418968
308,10.0,-1.0,4,8.81063418968
309,7.0,-1.0,4,8.81063418968
310,-10.0,-1.0,4,8.81063418968
311,22.0,-1.0,4,8.81063418968
312,-6.0,-1.0,4,8.81063418968
313,-9.0,-1.0,4,8.81063418968
314,-6.0,-1.0,4,8.81063418968
315,-10.0,-1.0,4,8.81063418968
316,-7.0,-1.0,4,8.81063418968
317,2.0,-1.0,4,8.81063418968
318,-16.0,-1.0,4,8.81063418968
319,-7.0,-1.0,4,8.81063418968
320,-7.0,-1.0,4,8.81063418968
321,-5.0,-1.0,4,8.81063418968
322,-15.0,-1.0,4,8.81063418968
323,-11.0,-1.0,4,8.81063418968
324,-4.0,-1.0,4,8.81063418968
325,-9.0,-1.0,4,8.81063418968
326,3.0,-1.0,4,8.81063418968
327,-11.0,-1.0,4,8.81063418968
328,1.0,-1.0,4,8.81063418968
329,-3.0,-1.0,4,8.81063418968
330,4.0,-1.0,4,8.81063418968
331,-5.0,-1.0,4,8.81063418968
332,14.0,-1.0,4,8.81063418968
333,-15.0,-1.0,4,8.81063418968
334,3.0,-1.0,4,8.81063418968
335,-12.0,-1.0,4,8.81063418968
