,poke,est,cond,std
0,-0.0,3.0,0,8.6733046105
1,-14.0,3.0,0,8.6733046105
2,-5.0,3.0,0,8.6733046105
3,-1.0,3.0,0,8.6733046105
4,-9.0,3.0,0,8.6733046105
5,5.0,3.0,0,8.6733046105
6,-4.0,3.0,0,8.6733046105
7,-9.0,3.0,0,8.6733046105
8,-20.0,3.0,0,8.6733046105
9,-9.0,3.0,0,8.6733046105
10,-10.0,3.0,0,8.6733046105
11,-20.0,3.0,0,8.6733046105
12,3.0,3.0,0,8.6733046105
13,9.0,3.0,0,8.6733046105
14,-7.0,3.0,0,8.6733046105
15,-2.0,3.0,0,8.6733046105
16,-5.0,3.0,0,8.6733046105
17,-2.0,3.0,0,8.6733046105
18,-4.0,3.0,0,8.6733046105
19,-18.0,3.0,0,8.6733046105
20,7.0,3.0,0,8.6733046105
21,-1.0,3.0,0,8.6733046105
22,-8.0,3.0,0,8.6733046105
23,4.0,3.0,0,8.6733046105
24,-9.0,3.0,0,8.6733046105
25,2.0,3.0,0,8.6733046105
26,-2.0,3.0,0,8.6733046105
27,-9.0,3.0,0,8.6733046105
28,-5.0,3.0,0,8.6733046105
29,-0.0,3.0,0,8.6733046105
30,-5.0,3.0,0,8.6733046105
31,-10.0,3.0,0,8.6733046105
32,9.0,3.0,0,8.6733046105
33,3.0,3.0,0,8.6733046105
34,3.0,3.0,0,8.6733046105
35,0.0,3.0,0,8.6733046105
36,7.0,3.0,0,8.6733046105
37,-5.0,3.0,0,8.6733046105
38,-7.0,3.0,0,8.6733046105
39,-5.0,3.0,0,8.6733046105
40,2.0,3.0,0,8.6733046105
41,3.0,3.0,0,8.6733046105
42,10.0,3.0,0,8.6733046105
43,2.0,3.0,0,8.6733046105
44,-8.0,3.0,0,8.6733046105
45,-7.0,3.0,0,8.6733046105
46,-9.0,3.0,0,8.6733046105
47,10.0,3.0,0,8.6733046105
48,-1.0,3.0,0,8.6733046105
49,-10.0,3.0,0,8.6733046105
50,-6.0,3.0,0,8.6733046105
51,-10.0,3.0,0,8.6733046105
52,-4.0,3.0,0,8.6733046105
53,-11.0,3.0,0,8.6733046105
54,-6.0,3.0,0,8.6733046105
55,10.0,3.0,0,8.6733046105
56,-4.0,3.0,0,8.6733046105
57,-5.0,3.0,0,8.6733046105
58,5.0,3.0,0,8.6733046105
59,11.0,-1.0,0,8.6733046105
60,-3.0,-1.0,0,8.6733046105
61,2.0,-1.0,0,8.6733046105
62,33.0,-1.0,0,8.6733046105
63,14.0,-1.0,0,8.6733046105
64,3.0,-1.0,0,8.6733046105
65,18.0,-1.0,0,8.6733046105
66,2.0,-1.0,0,8.6733046105
67,1.0,-1.0,0,8.6733046105
68,22.0,-1.0,0,8.6733046105
69,4.0,-1.0,0,8.6733046105
70,-14.0,-1.0,0,8.6733046105
71,-19.0,-1.0,0,8.6733046105
72,16.0,-1.0,0,8.6733046105
73,6.0,-1.0,0,8.6733046105
74,18.0,-1.0,0,8.6733046105
75,6.0,-1.0,0,8.6733046105
76,9.0,-1.0,0,8.6733046105
77,2.0,-1.0,0,8.6733046105
78,15.0,-1.0,0,8.6733046105
79,-9.0,-1.0,0,8.6733046105
80,0.0,-1.0,0,8.6733046105
81,9.0,-1.0,0,8.6733046105
82,1.0,-1.0,0,8.6733046105
83,22.0,-1.0,0,8.6733046105
84,21.0,-1.0,0,8.6733046105
85,5.0,-1.0,0,8.6733046105
86,3.0,-1.0,0,8.6733046105
87,-6.0,-1.0,0,8.6733046105
88,-8.0,-1.0,0,8.6733046105
89,-1.0,-1.0,0,8.6733046105
90,-4.0,-1.0,0,8.6733046105
91,-1.0,-1.0,0,8.6733046105
92,9.0,-1.0,0,8.6733046105
93,-9.0,-1.0,0,8.6733046105
94,-21.0,-1.0,0,8.6733046105
95,7.0,-1.0,0,8.6733046105
96,6.0,-1.0,0,8.6733046105
97,-1.0,-1.0,0,8.6733046105
98,-4.0,-1.0,0,8.6733046105
99,2.0,-1.0,0,8.6733046105
100,-3.0,-1.0,0,8.6733046105
101,0.0,-1.0,0,8.6733046105
102,-5.0,-1.0,0,8.6733046105
103,3.0,-1.0,0,8.6733046105
104,7.0,-1.0,0,8.6733046105
105,2.0,-1.0,0,8.6733046105
106,2.0,-1.0,0,8.6733046105
107,10.0,-1.0,0,8.6733046105
108,-3.0,-1.0,0,8.6733046105
109,3.0,-1.0,0,8.6733046105
110,0.0,-1.0,0,8.6733046105
111,9.0,-1.0,0,8.6733046105
112,10.0,-1.0,0,8.6733046105
113,-22.0,-1.0,0,8.6733046105
114,9.0,-1.0,0,8.6733046105
115,-20.0,-1.0,0,8.6733046105
116,-9.0,-1.0,0,8.6733046105
117,-1.0,-1.0,0,8.6733046105
118,17.0,-15.0,2,8.6733046105
119,15.0,-15.0,2,8.6733046105
120,11.0,-15.0,2,8.6733046105
121,5.0,-15.0,2,8.6733046105
122,13.0,-15.0,2,8.6733046105
123,5.0,-15.0,2,8.6733046105
124,4.0,-15.0,2,8.6733046105
125,18.0,-15.0,2,8.6733046105
126,1.0,-15.0,2,8.6733046105
127,22.0,-15.0,2,8.6733046105
128,13.0,-15.0,2,8.6733046105
129,20.0,-15.0,2,8.6733046105
130,18.0,-15.0,2,8.6733046105
131,13.0,-15.0,2,8.6733046105
132,10.0,-15.0,2,8.6733046105
133,8.0,-15.0,2,8.6733046105
134,19.0,-15.0,2,8.6733046105
135,8.0,-15.0,2,8.6733046105
136,9.0,-15.0,2,8.6733046105
137,15.0,-15.0,2,8.6733046105
138,16.0,-15.0,2,8.6733046105
139,14.0,-15.0,2,8.6733046105
140,27.0,-15.0,2,8.6733046105
141,14.0,-15.0,2,8.6733046105
142,8.0,-15.0,2,8.6733046105
143,14.0,-15.0,2,8.6733046105
144,2.0,-15.0,2,8.6733046105
145,9.0,-15.0,2,8.6733046105
146,23.0,-15.0,2,8.6733046105
147,13.0,-15.0,2,8.6733046105
148,-6.0,-15.0,2,8.6733046105
149,21.0,-15.0,2,8.6733046105
150,5.0,-15.0,2,8.6733046105
151,9.0,-15.0,2,8.6733046105
152,7.0,-15.0,2,8.6733046105
153,15.0,-15.0,2,8.6733046105
154,28.0,-15.0,2,8.6733046105
155,11.0,-15.0,2,8.6733046105
156,13.0,-15.0,2,8.6733046105
157,17.0,-15.0,2,8.6733046105
158,29.0,-15.0,2,8.6733046105
159,19.0,-15.0,2,8.6733046105
160,10.0,-15.0,2,8.6733046105
161,10.0,-15.0,2,8.6733046105
162,9.0,-15.0,2,8.6733046105
163,17.0,-15.0,2,8.6733046105
164,1.0,-15.0,2,8.6733046105
165,28.0,-15.0,2,8.6733046105
166,8.0,-15.0,2,8.6733046105
167,16.0,-15.0,2,8.6733046105
168,18.0,-15.0,2,8.6733046105
169,16.0,-15.0,2,8.6733046105
170,-2.0,-15.0,2,8.6733046105
171,33.0,-15.0,2,8.6733046105
172,26.0,-15.0,2,8.6733046105
173,2.0,-15.0,2,8.6733046105
174,-5.0,-1.0,2,8.6733046105
175,-6.0,-1.0,2,8.6733046105
176,18.0,-1.0,2,8.6733046105
177,5.0,-1.0,2,8.6733046105
178,1.0,-1.0,2,8.6733046105
179,11.0,-1.0,2,8.6733046105
180,-13.0,-1.0,2,8.6733046105
181,-5.0,-1.0,2,8.6733046105
182,5.0,-1.0,2,8.6733046105
183,-1.0,-1.0,2,8.6733046105
184,4.0,-1.0,2,8.6733046105
185,-2.0,-1.0,2,8.6733046105
186,6.0,-1.0,2,8.6733046105
187,5.0,-1.0,2,8.6733046105
188,1.0,-1.0,2,8.6733046105
189,0.0,-1.0,2,8.6733046105
190,5.0,-1.0,2,8.6733046105
191,8.0,-1.0,2,8.6733046105
192,7.0,-1.0,2,8.6733046105
193,12.0,-1.0,2,8.6733046105
194,3.0,-1.0,2,8.6733046105
195,9.0,-1.0,2,8.6733046105
196,1.0,-1.0,2,8.6733046105
197,10.0,-1.0,2,8.6733046105
198,8.0,-1.0,2,8.6733046105
199,-2.0,-1.0,2,8.6733046105
200,9.0,-1.0,2,8.6733046105
201,15.0,-1.0,2,8.6733046105
202,16.0,-1.0,2,8.6733046105
203,11.0,-1.0,2,8.6733046105
204,0.0,-1.0,2,8.6733046105
205,-4.0,-1.0,2,8.6733046105
206,-6.0,-1.0,2,8.6733046105
207,-13.0,-1.0,2,8.6733046105
208,20.0,-1.0,2,8.6733046105
209,7.0,-1.0,2,8.6733046105
210,-1.0,-1.0,2,8.6733046105
211,-8.0,-1.0,2,8.6733046105
212,17.0,-1.0,2,8.6733046105
213,4.0,-1.0,2,8.6733046105
214,10.0,-1.0,2,8.6733046105
215,5.0,-1.0,2,8.6733046105
216,-10.0,-1.0,2,8.6733046105
217,-4.0,-1.0,2,8.6733046105
218,-8.0,-1.0,2,8.6733046105
219,-2.0,-1.0,2,8.6733046105
220,16.0,-1.0,2,8.6733046105
221,11.0,-1.0,2,8.6733046105
222,5.0,-1.0,2,8.6733046105
223,10.0,-1.0,2,8.6733046105
224,-11.0,-1.0,2,8.6733046105
225,6.0,-1.0,2,8.6733046105
226,-3.0,-1.0,2,8.6733046105
227,-18.0,-1.0,2,8.6733046105
228,0.0,-1.0,2,8.6733046105
229,-2.0,-1.0,2,8.6733046105
230,3.0,-19.0,4,8.6733046105
231,8.0,-19.0,4,8.6733046105
232,8.0,-19.0,4,8.6733046105
233,9.0,-19.0,4,8.6733046105
234,6.0,-19.0,4,8.6733046105
235,12.0,-19.0,4,8.6733046105
236,7.0,-19.0,4,8.6733046105
237,11.0,-19.0,4,8.6733046105
238,6.0,-19.0,4,8.6733046105
239,33.0,-19.0,4,8.6733046105
240,19.0,-19.0,4,8.6733046105
241,19.0,-19.0,4,8.6733046105
242,29.0,-19.0,4,8.6733046105
243,10.0,-19.0,4,8.6733046105
244,16.0,-19.0,4,8.6733046105
245,24.0,-19.0,4,8.6733046105
246,-5.0,-19.0,4,8.6733046105
247,8.0,-19.0,4,8.6733046105
248,19.0,-19.0,4,8.6733046105
249,20.0,-19.0,4,8.6733046105
250,10.0,-19.0,4,8.6733046105
251,11.0,-19.0,4,8.6733046105
252,10.0,-19.0,4,8.6733046105
253,23.0,-19.0,4,8.6733046105
254,10.0,-19.0,4,8.6733046105
255,13.0,-19.0,4,8.6733046105
256,15.0,-19.0,4,8.6733046105
257,5.0,-19.0,4,8.6733046105
258,140.0,-19.0,4,8.6733046105
259,11.0,-19.0,4,8.6733046105
260,12.0,-19.0,4,8.6733046105
261,8.0,-19.0,4,8.6733046105
262,10.0,-19.0,4,8.6733046105
263,8.0,-19.0,4,8.6733046105
264,13.0,-19.0,4,8.6733046105
265,22.0,-19.0,4,8.6733046105
266,7.0,-19.0,4,8.6733046105
267,22.0,-19.0,4,8.6733046105
268,2.0,-19.0,4,8.6733046105
269,20.0,-19.0,4,8.6733046105
270,8.0,-19.0,4,8.6733046105
271,10.0,-19.0,4,8.6733046105
272,15.0,-19.0,4,8.6733046105
273,27.0,-19.0,4,8.6733046105
274,28.0,-19.0,4,8.6733046105
275,19.0,-19.0,4,8.6733046105
276,3.0,-19.0,4,8.6733046105
277,18.0,-19.0,4,8.6733046105
278,20.0,-19.0,4,8.6733046105
279,16.0,-19.0,4,8.6733046105
280,17.0,-19.0,4,8.6733046105
281,9.0,-19.0,4,8.6733046105
282,-6.0,-3.0,4,8.6733046105
283,11.0,-3.0,4,8.6733046105
284,12.0,-3.0,4,8.6733046105
285,7.0,-3.0,4,8.6733046105
286,-8.0,-3.0,4,8.6733046105
287,7.0,-3.0,4,8.6733046105
288,5.0,-3.0,4,8.6733046105
289,13.0,-3.0,4,8.6733046105
290,-6.0,-3.0,4,8.6733046105
291,6.0,-3.0,4,8.6733046105
292,2.0,-3.0,4,8.6733046105
293,31.0,-3.0,4,8.6733046105
294,8.0,-3.0,4,8.6733046105
295,-8.0,-3.0,4,8.6733046105
296,20.0,-3.0,4,8.6733046105
297,2.0,-3.0,4,8.6733046105
298,-2.0,-3.0,4,8.6733046105
299,-8.0,-3.0,4,8.6733046105
300,-4.0,-3.0,4,8.6733046105
301,-3.0,-3.0,4,8.6733046105
302,-16.0,-3.0,4,8.6733046105
303,-2.0,-3.0,4,8.6733046105
304,9.0,-3.0,4,8.6733046105
305,2.0,-3.0,4,8.6733046105
306,26.0,-3.0,4,8.6733046105
307,12.0,-3.0,4,8.6733046105
308,13.0,-3.0,4,8.6733046105
